STATEFP,ELSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,UNSDLEA,layer,path
"41",,"4106600",Huntington School District 16J,"00",KG,"12",G5420,,E,"853181783","16706326","+44.4549121","-117.3293124","06600",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4106630",Imbler School District 11,"00",KG,"12",G5420,,E,"308592388","0","+45.4985087","-117.9862505","06630",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4106710",Jefferson School District 14J,"00",KG,"12",G5420,,E,"144293079","3777958","+44.7493954","-123.0275932","06710",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4106740",Jefferson County School District 509J,"00",KG,"12",G5420,,E,"3796788047","15366593","+44.8022764","-121.2606462","06740",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4106750",Jewell School District 8,"00",KG,"12",G5420,,E,"693512027","302443","+45.9030945","-123.5574721","06750",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4106780",John Day School District 3,"00",KG,"12",G5420,,E,"3781862032","530236","+44.2137154","-119.1141867","06780",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4106820",Jordan Valley School District 3,"00",KG,"12",G5420,,E,"3797491610","48730177","+43.0672871","-117.2747209","06820",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4106870",Joseph School District 6,"00",KG,"12",G5420,,E,"3475117564","12099512","+45.4357264","-116.9015554","06870",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4106900",Three Rivers School District,"00",KG,"12",G5420,,E,"4423622542","5623550","+42.3491489","-123.5215715","06900",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4106930",Junction City School District 69,"00",KG,"12",G5420,,E,"422754775","1979034","+44.2061790","-123.3070442","06930",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4107020",Klamath County School District,"00",KG,"12",G5420,,E,"15203477079","502260489","+42.6837613","-121.6461682","07020",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4107080",Klamath Falls City Schools,"00",KG,"12",G5420,,E,"188162731","1426100","+42.2640991","-121.8038001","07080",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4107200",La Grande School District 1,"00",KG,"12",G5420,,E,"2060618140","675506","+45.2662958","-118.2891073","07200",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
